Date,Open,High,Low,Close,Shares Traded,Turnover (? Cr)
16-Jul-19,11596.65,11670.05,11573.95,11662.6,4.80E+08,15967.91
17-Jul-19,11670.75,11706.65,11651.15,11687.5,4.65E+08,15250.5
18-Jul-19,11675.6,11677.15,11582.4,11596.9,4.98E+08,16684.03
19-Jul-19,11627.95,11640.35,11399.3,11419.25,4.46E+08,17326.4
22-Jul-19,11392.85,11398.15,11301.25,11346.2,5.16E+08,19304.23
23-Jul-19,11372.25,11398.15,11302.8,11331.05,4.59E+08,19199.32
24-Jul-19,11322.45,11359.75,11229.8,11271.3,4.13E+08,18353.13
25-Jul-19,11290.4,11361.4,11239.35,11252.15,5.54E+08,24329.21
26-Jul-19,11247.45,11307.6,11210.05,11284.3,5.23E+08,20350.38
29-Jul-19,11307.5,11310.95,11152.4,11189.2,4.83E+08,18705.92
30-Jul-19,11213.7,11267.45,11072.65,11085.4,4.79E+08,20545.71
31-Jul-19,11034.05,11145.3,10999.4,11118,5.37E+08,23681.22
########,11060.2,11076.75,10881,10980,5.00E+08,21048.32
########,10930.3,11080.15,10848.95,10997.35,5.47E+08,23972.04
########,10895.8,10895.8,10782.6,10862.6,5.07E+08,20824.1
########,10815.4,11018.55,10813.8,10948.25,5.18E+08,21676.4
########,10958.1,10975.65,10835.9,10855.5,5.48E+08,21228.28
########,10899.2,11058.05,10842.95,11032.45,4.82E+08,20667.6
########,11087.9,11181.45,11062.8,11109.65,5.38E+08,21092.05
########,11139.4,11145.9,10901.6,10925.85,6.25E+08,24790.67
########,11003.25,11078.15,10935.6,11029.4,5.12E+08,19712.81
########,11043.65,11068.65,10924.3,11047.8,4.71E+08,19281.91
########,11094.8,11146.9,11037.85,11053.9,3.69E+08,14120.35
########,11063.9,11076.3,10985.3,11017,4.45E+08,16915.96
########,11018.15,11034.2,10906.65,10918.7,5.58E+08,16747.99
########,10905.3,10908.25,10718.3,10741.35,6.68E+08,18764.38
########,10699.6,10862.55,10637.15,10829.35,6.67E+08,20983.75
########,11000.3,11070.3,10756.55,11057.85,6.84E+08,22375.99
########,11106.55,11141.75,11049.5,11105.35,6.86E+08,27413.16
########,11101.3,11129.65,10987.65,11046.1,5.50E+08,16739.43
########,10996.05,11021.1,10922.4,10948.3,6.50E+08,20127.77
########,10987.8,11042.6,10874.8,11023.25,6.28E+08,21057.31
########,10960.95,10967.5,10772.7,10797.9,4.83E+08,16595.6
########,10790.4,10858.75,10746.35,10844.65,5.09E+08,19195.1
########,10860.95,10920.1,10816,10847.9,5.96E+08,18279.88
########,10883.8,10957.05,10867.45,10946.2,4.97E+08,18167.78
########,10936.7,11028.85,10889.8,11003.05,4.12E+08,14762.07
########,11028.5,11054.8,11011.65,11035.7,6.87E+08,19550.59
########,11058.3,11081.75,10964.95,10982.8,5.51E+08,17510.17
########,10986.8,11084.45,10945.75,11075.9,6.24E+08,18012.76
########,10994.85,11052.7,10968.2,11003.5,4.34E+08,15786.17
########,11000.1,11000.1,10796.5,10817.6,4.82E+08,17721.93
########,10872.8,10885.15,10804.85,10840.65,5.19E+08,16784.43
########,10845.2,10845.2,10670.25,10704.8,6.43E+08,16642.83
########,10746.8,11381.9,10691,11274.2,1.36E+09,54081.53
########,11542.7,11694.85,11471.35,11600.2,8.83E+08,40005.01
########,11590.7,11655.05,11539.2,11588.2,6.52E+08,26930.07
########,11564.85,11564.95,11416.1,11440.2,6.29E+08,25266.24
########,11469.85,11610.85,11466.35,11571.2,8.44E+08,30707.84
########,11556.35,11593.6,11499.75,11512.4,6.50E+08,19036.94
########,11491.15,11508.25,11390.8,11474.45,7.57E+08,23748.07
########,11515.4,11554.2,11247.9,11359.9,1.31E+09,28972.72
########,11322.25,11370.4,11257.35,11314,1.02E+09,21658.38
########,11388.45,11400.3,11158.35,11174.75,9.29E+08,22470.76
########,11196.2,11233.85,11112.65,11126.4,7.33E+08,18641.37
########,11152.95,11321.6,11090.15,11313.3,7.41E+08,20961.54
########,11280.5,11293.35,11208.55,11234.55,5.62E+08,19234.31
########,11257.7,11362.9,11189.4,11305.05,7.38E+08,22511.39
########,11335.9,11420.45,11290.05,11341.15,5.88E+08,17499.48
########,11360.85,11462.35,11342.1,11428.3,5.27E+08,17041.55
########,11464.95,11481.05,11411.1,11464,5.33E+08,18266.06
########,11466.3,11599.1,11439.65,11586.35,7.98E+08,20839.2
########,11580.3,11684.7,11553.15,11661.85,8.53E+08,22315.99
########,11657.15,11714.35,11573.65,11588.35,8.68E+08,29726.27
########,11596.2,11651.6,11554.4,11604.1,6.64E+08,23397.69
########,11661.65,11679.6,11534.65,11582.6,7.00E+08,25177.46
########,11646.15,11646.9,11490.75,11583.9,8.12E+08,23611.51
########,11662.25,11672.4,11604.6,11627.15,1.62E+08,3548.21
########,11643.95,11809.4,11627.35,11786.85,9.52E+08,27054.87
########,11883.9,11883.95,11784.45,11844.1,7.25E+08,22672.18
########,11890.45,11945,11855.1,11877.45,1.41E+09,31304.73
########,11886.6,11918.3,11843.35,11890.6,8.55E+08,24933.55
########,11928.9,11989.15,11905.35,11941.3,8.23E+08,23203.88
########,11974.6,11978.95,11861.9,11917.2,6.32E+08,20995.88
########,11911.5,12002.9,11850.25,11966.05,6.03E+08,23324.97
########,12021.1,12021.4,11946.85,12012.05,5.63E+08,20898.24
########,11987.15,12034.15,11888.75,11908.15,7.89E+08,22931.52
########,11879.2,11932.65,11853.95,11913.45,5.49E+08,16548.47
########,11908.3,11946.8,11823.2,11840.45,6.59E+08,20401.5
########,11858.75,11895.65,11802.65,11872.1,5.59E+08,19114.86
########,11904.2,11973.65,11879.25,11895.45,5.80E+08,22350.63
########,11915.15,11946.2,11867.6,11884.5,5.14E+08,17991.41
########,11919.45,11958.85,11881.75,11940.1,6.14E+08,21574.84
########,12004.75,12038.6,11966.05,11999.1,6.47E+08,24341.14
########,12025.65,12028.2,11956.9,11968.4,5.58E+08,21609.99
########,11967.3,11968.1,11883.5,11914.4,4.87E+08,19243.57
########,11922.45,12084.5,11919.75,12073.75,5.34E+08,19990.44
########,12110.2,12132.45,12006.35,12037.7,1.20E+09,46030.62
########,12068.5,12114.9,12055.15,12100.7,5.84E+08,19937.4
########,12132.1,12158.8,12099.95,12151.15,6.20E+08,21229.58
########,12146.2,12147.4,12017.4,12056.05,8.04E+08,21838.04
########,12137.05,12137.15,12023.7,12048.2,7.21E+08,23113.18
########,12067.65,12068.6,11956.4,11994.2,6.06E+08,18203.76
########,11969.95,12054.7,11935.3,12043.2,7.47E+08,22132.83
########,12071.25,12081.2,11998.75,12018.4,5.62E+08,19589.81
########,12047.35,12057.05,11888.85,11921.5,6.09E+08,18245.49
########,11939.1,11981.95,11888.05,11937.5,5.99E+08,16672.87
########,11950.5,11953.2,11844.7,11856.8,6.50E+08,16514.63
########,11867.35,11923.2,11832.3,11910.15,9.98E+08,18760.57
########,11944.3,12005.5,11934,11971.8,7.53E+08,18401.22
########,12026.4,12098.85,12023.6,12086.7,5.98E+08,20626.8
########,12131.35,12134.65,12046.3,12053.95,4.38E+08,16110.34
########,12082.45,12182.75,12070.35,12165,5.00E+08,20968.79
########,12197,12237.7,12163.45,12221.65,5.19E+08,22341.06
########,12223.4,12268.35,12191.15,12259.7,6.23E+08,19761.9
########,12266.45,12293.9,12252.75,12271.8,8.11E+08,25750.24
